,City_Name,AQS_Site_ID,Latitude,Longitude,Datum,Notes
0,Chicago,17-031-0076,41.7514,-87.713488,WGS84,
1,Cincinnati,39-061-0040,39.12886,-84.50404,NAD83,
2,Nashville,47-037-0002,36.143301,-86.754609,WGS84,PM10
3,,47-037-0040,36.1424,-86.7341,WGS84,NO2 & CO
4,,47-037-0023,36.176382,-86.7389,WGS84,PM2.5
5,,47-037-0011,36.205055,-86.74472,WGS84,"Ozone,NO2, & SO2"
6,Birmingham,01-073-0023,33.553056,-86.815,WGS84,
7,New_York_City,36-005-0110,40.816,-73.902,WGS84,
8,Buffalo,36-029-0005,42.876907,-78.809526,WGS84,
9,Phoenix,04-013-9997,33.503833,-112.095767,WGS84,
10,Denver,08-031-0026,39.77949,-105.00518,WGS84,
11,Boston,25-025-0042,42.3295,-71.0826,WGS84,
12,Worcester,25-027-0023,42.263955,-71.794322,WGS84,
13,,25-027-0015,42.274319,-71.875511,WGS84,Ozone
14,Los_Angeles,06-037-1103,34.06659,-118.22688,WGS84,
15,Seattle,53-033-0080,47.568236,-122.308628,WGS84,
16,Miami,12-086-1016,25.794222,-80.215556,WGS84,PM2.5 & PM10
17,,12-086-4002,25.798709,-80.210048,WGS84,NO2 & CO
18,Washington,11-001-0043,38.921847,-77.013178,WGS84,
19,Atlanta,13-121-0056,33.778315,-84.391418,WGS84,"NO2, CO, & PM2.5"
20,,13-121-0055,33.720192,-84.357056,WGS84,"SO2, & Ozone"
21,Minneapolis,27-053-0962,44.965242,-93.254759,WGS84,
22,,27-053-0954,44.980995,-93.273719,WGS84,SO2 &CO
23,St._Louis,29-510-0085,38.656498,-90.198646,WGS84,
24,Dallas-Fort_Worth,48-113-0069,32.820061,-96.860117,WGS84,
25,Corpus_Christi,48-355-0026,27.832409,-97.55538,WGS84,SO2 & Ozone
26,,48-355-0032,27.804505,-97.431582,WGS84,PM2.5 & SO2
27,,48-355-0034,27.811817,-97.465703,WGS84,PM2.5 & PM 10
