"HouseCode","House","Season","StartDate","EndDate"
"Atmo1","House 3","summer","2015/8/25","2015/9/2"
"Atmo1","House 3","winter","2016/2/27","2016/3/4"
"Atmo2","House 2","summer","2015/7/23","2015/8/20"
"Atmo2","House 2","winter","2016/3/12","2016/3/28"
"Atmo4","House 4","summer","2016/3/31","2016/4/11"
"Atmo4","House 4","winter","2017/1/24","2017/1/31"
"Atmo5","House 5","summer","2016/8/19","2016/8/26"
"Atmo6","House 6","summer","2016/9/13","2016/9/19" 
"Atmo6","House 6","winter","2017/1/31","2017/2/7"
"Atmo7","House 7","summer","2016/9/20","2016/10/3" 
"Atmo7","House 7","winter","2017/2/7","2017/2/14"
"Atmo8","House 8","summer","2018/2/5","2018/2/19"
"Atmo8","House 8","winter","2018/7/31","2018/8/9"
"Atmo9","House 9","summer","2017/9/8","2017/9/15"
"Atmo9","House 9","winter","2018/1/19","2018/1/26"
"Atom10","House 10","summer","2017/9/19","2017/9/27"
"Atom10","House 10","winter","2018/1/27","2018/2/5"
